epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.1812215945237465,5.034278125,7.8,25.78
1,4.840092259596787,3.639078125,17.32,42.88
2,4.339895936204372,3.0628125,26.54,56.8
3,4.070048997113681,2.6564109375,34.58,64.66
4,3.8551033205751204,2.4044,41.12,69.84
5,3.6559381510060307,2.299798828125,44.2,73.7
6,3.484031918319668,1.956596875,50.6,78.22
7,3.330764507220777,1.8593275390625,52.74,80.22
8,3.2044412631028005,1.69283828125,56.96,82.84
9,3.096128974153216,1.587434814453125,59.96,84.34
10,3.003496044433167,1.5228587890625,60.32,85.16
11,2.9258372180534455,1.444719921875,62.7,86.12
12,2.856215534676894,1.4504205078125,62.84,86.62
13,2.8023926798614704,1.3584447265625,65.66,87.28
14,2.7541626777220585,1.3260408203125,67.14,87.78
15,2.7080335167633725,1.2801025390625,68.14,89.02
16,2.6674633967023884,1.25163330078125,67.64,89.8
17,2.636220456172676,1.225847265625,69.2,89.46
18,2.603721962783986,1.2423568359375,68.64,89.56
19,2.570750622621299,1.211410595703125,69.7,89.64
20,2.5469165030932315,1.1748201171875,70.58,90.26
21,2.5197571640526766,1.1634850341796874,70.32,90.6
22,2.503857692067973,1.14282333984375,70.26,91.22
23,2.4829655803244055,1.107463330078125,72.18,91.28
24,2.467990992712933,1.0800462646484374,73.12,91.84
25,2.4498278078127838,1.1021623901367188,71.64,90.86
26,2.4354454458895605,1.047755419921875,73.02,91.66
27,2.4224611195825285,1.1039552734375,72.36,91.04
28,2.4152270627181087,1.048747705078125,73.86,92.3
29,2.4064218612538504,1.0453045166015624,74.38,92.18
30,2.3912147761305733,1.0324774169921875,74.76,92.0
31,2.3794977270090705,nan,72.86,91.98
32,2.375081508636357,1.051752294921875,74.38,92.26
33,2.3696102414264506,0.9813522766113282,74.68,92.88
34,2.3563872046088323,nan,74.36,92.66
35,2.3562224978741018,nan,73.54,92.04
36,2.3490332726410372,nan,74.7,92.24
37,2.3330212615557575,nan,74.2,92.12
38,2.3343950061625818,nan,73.32,92.36
39,2.324070788497708,nan,74.36,92.14
40,2.323279956327574,nan,75.48,92.76
41,2.316142668157071,nan,74.92,92.74
42,2.3105023227479013,nan,75.46,92.66
43,2.3087752957032537,nan,75.52,92.18
44,2.314114828137471,nan,74.14,92.5
45,2.2928845280174333,nan,75.62,92.56
46,2.295029886684569,nan,74.7,92.8
47,2.291507877473989,nan,74.6,92.7
48,2.286544636242226,nan,75.16,91.34
